p,value,method,truncation_error_bound
1,2.59041205544275,exact finite formula,0.000000e+00
2,1.34882511106098,exact finite formula,0.000000e+00
3,0.820069495278324,exact finite formula,0.000000e+00
4,0.664826163390404,exact finite formula,0.000000e+00
5,0.597015674425332,exact finite formula,0.000000e+00
6,0.643663823916131,exact finite formula,0.000000e+00
7,0.581126998559545,exact finite formula,0.000000e+00
8,0.631172313361621,exact finite formula,0.000000e+00
9,0.624575991946669,controlled x_80 approximation,5.489004e-10
10,0.612045253603456,controlled x_80 approximation,9.422493e-10
11,0.620669743396657,controlled x_80 approximation,1.630694e-09
12,0.562106548046391,controlled x_80 approximation,2.733359e-09
